caseid,pid_4,ideo5,gov_choice,prop_111,prop_112,trump_app,hick_app,gardner_app,cong_app,scotus_app,pot_law,gambling,fracking,gun_control,anger,pride,hope,disgust,worry,trump_app2,hick_app2,gardner_app2,cong_app2,scotus_app2,pot_law2,gambling2,fracking2,gun_control2,old_weight_old,pid_x,sex,race_4,speakspanish,marstat,child18,employ,faminc_new,casscd,religiosity,age_group,educ
4.14E+08,Republican,Conservat,Walker St,1,0,Strongly Approve,Disapprove,Strongly Approve,Disapprove,Strongly Approve,Strong Oppose,,Strongly Favor,Strong Oppose,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,1,0,1,0,1,0,,1,0,0.5265237,7,Female,White,I can not,Married,No,Permanent,,5,Few times year,50-64,Some college
4.14E+08,Republican,Conservat,Walker St,1,0,Approve,Disapprove,Approve,Disapprove,Approve,Strong Oppose,Strong Oppose,Strongly Favor,Oppose,Most of the Time,Rarely,Sometimes,All of the Time,Most of the Time,1,0,1,0,1,0,0,1,0,0.5265237,6,Female,White,I can not,Married,No,Part-time,"$80,000 -",3,Once week or more,50-64,Some college
4.14E+08,Republican,Conservat,Walker St,0,0,Strongly Approve,Strong Disapprove,Approve,Strong Disapprove,Strongly Approve,Oppose,Favor,Strongly Favor,Strong Oppose,Most of the Time,All of the Time,Sometimes,All of the Time,Sometimes,1,0,1,0,1,0,1,1,0,0.9276583,5,Male,Other POC,I can not,Never mar,No,Part-time,"$10,000 -",7,never,50-64,Some college
4.14E+08,Republican,Conservat,Walker St,1,0,Strongly Approve,Disapprove,Approve,Approve,Approve,Favor,Favor,,Favor,Sometimes,Sometimes,Sometimes,Most of the Time,Sometimes,1,0,1,1,1,1,1,,1,0.729908,5,Female,White,I can not,Married,No,Part-time,"$100,000",2,never,65+,BA
4.14E+08,Democrat,Liberal,Jared Pol,1,1,Strong Disapprove,Approve,Disapprove,Strong Disapprove,Approve,Strongly Favor,Strong Oppose,Oppose,Strongly Favor,Rarely,Most of the Time,Rarely,Sometimes,Most of the Time,0,1,0,0,1,1,0,0,1,0.8426409,2,Female,White,I can not,Married,No,Retired,"$120,000",2,Few times year,65+,BA
4.14E+08,Independent,Very cons,Walker St,1,1,Disapprove,Approve,Approve,Approve,Approve,Strongly Favor,Favor,Strongly Favor,Favor,Never,Sometimes,Sometimes,Rarely,Most of the Time,0,1,1,1,1,1,1,1,1,0.4414096,4,Female,Hispanic,I can not,Married,No,Full-time,"$40,000 -",6,Once week or more,50-64,AA degree
4.14E+08,Republican,Conservat,Walker St,1,0,Strongly Approve,Disapprove,Approve,Approve,Approve,Strongly Favor,Strongly Favor,Strongly Favor,Strong Oppose,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,0,1,1,1,1,1,1,0,1.121266,6,Female,White,I can not,Married,No,Retired,"$20,000 -",4,never,65+,AA degree
4.14E+08,Republican,Very cons,Walker St,1,0,Strongly Approve,Disapprove,Strongly Approve,Disapprove,Approve,Strongly Favor,Favor,Strongly Favor,Strong Oppose,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,1,0,1,0,1,1,1,1,0,0.6899369,6,Female,White,I can not,Married,Yes,Permanent,"$60,000 -",6,Once week or more,40-49,AA degree
4.14E+08,Independent,Moderate,Scott Hel,1,0,Strong Disapprove,,,Strong Disapprove,Strong Disapprove,Favor,Favor,,Favor,Sometimes,Most of the Time,Rarely,Sometimes,Sometimes,0,,,0,0,1,1,,1,0.2595017,4,Female,White,I can not,Divorced,No,Full-time,"$20,000 -",6,Few times year,50-64,BA
4.14E+08,Republican,Moderate,Walker St,1,0,Approve,Approve,Strongly Approve,Approve,Strongly Approve,Strong Oppose,Strong Oppose,Strongly Favor,Strongly Favor,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,1,1,1,1,1,0,0,1,1,0.6344776,7,Female,White,I can not,Widowed,No,Part-time,"$100,000",6,Few times year,65+,Some college
